condition_name,canonical_term,score,study_count,status
cognitive function,Cognitive Dysfunction,87.17949,50,pending
metastatic lung non-small cell carcinoma,Small Cell Lung Carcinoma,77.77778,49,pending
refractory lymphoma,Lymphoma,87.5,43,pending
advanced lymphoma,Lymphoma,87.5,37,pending
recurrent lung non-small cell carcinoma,Small Cell Lung Carcinoma,77.77778,37,pending
metastatic solid tumors,Desmoid Tumors,76.92308,30,pending
postoperative care,"Pain, Postoperative",75.675674,29,pending
stroke hemorrhagic,Hemorrhagic Stroke,88.888885,27,pending
executive dysfunction,Erectile Dysfunction,78.04878,26,pending
transient ischemic attack,"Ischemic Attack, Transient",86.27451,25,pending
refractory follicular lymphoma,"Lymphoma, Follicular",87.17949,24,pending
relapsed or refractory multiple myeloma,Multiple Myeloma,80.0,23,pending
recurrent myelodysplastic syndrome,Myelodysplastic Syndromes,89.79592,22,pending
synovial sarcoma,"Sarcoma, Synovial",84.84849,22,pending
alzheimer s disease,Alzheimer Disease,83.333336,22,pending
inflammatory disease,Neuroinflammatory Diseases,82.608696,22,pending
metabolism,Embolism,77.77778,22,pending
cardiovascular (cv) risk,Cardiovascular Diseases,76.190475,22,pending
fertility,Infertility,90.0,21,pending
cardiovascular complication,"Pregnancy Complications, Cardiovascular",75.757576,21,pending
peritoneal metastases,Peritoneal Diseases,75.0,21,pending
recurrent follicular lymphoma,"Lymphoma, Follicular",87.17949,20,pending
chronic pelvic pain,Pelvic Pain,81.818184,20,pending
refractory osteosarcoma,Osteosarcoma,91.666664,19,pending
neuro-degenerative disease,Neurodegenerative Diseases,88.46154,19,pending
"dementia, mild",Dementia,87.5,19,pending
asthma (diagnosis),Asthma,83.333336,19,pending
refractory myelodysplastic syndrome,Myelodysplastic Syndromes,89.79592,18,pending
richter syndrome,Leriche Syndrome,81.25,18,pending
schizo affective disorder,"Affective Disorders, Psychotic",76.36364,18,pending
chronic rhinosinusitis (crs),Rhinosinusitis,92.85714,17,pending
renal cell carcinoma (kidney cancer),"Carcinoma, Renal Cell",82.92683,16,pending
bone sarcoma,Fibrosarcoma,75.0,16,pending
lymphedema arm,Lymphedema,75.0,16,pending
overweight (bmi &gt; 25),Overweight,90.0,15,pending
advanced hepatocellular carcinoma (hcc),"Carcinoma, Hepatocellular",89.79592,15,pending
stage iii oropharyngeal (p16-negative) carcinoma ajcc v8,Nasopharyngeal Carcinoma,85.106384,15,pending
suicide ideation,Suicidal Ideation,78.78788,15,pending
recurrent laryngeal squamous cell carcinoma,Esophageal Squamous Cell Carcinoma,77.61194,15,pending
"solid tumors, adult",Desmoid Tumors,76.92308,15,pending
atypical endometrial hyperplasia,Endometrial Hyperplasia,76.36364,15,pending
pediatric anesthesia,Paresthesia,85.71429,14,pending
recurrent oropharyngeal squamous cell carcinoma,Esophageal Squamous Cell Carcinoma,81.69014,14,pending
recurrent hypopharyngeal squamous cell carcinoma,Esophageal Squamous Cell Carcinoma,80.55556,14,pending
ulcer foot,Foot Ulcer,80.0,14,pending
intraventricular hemorrhage,Cerebral Intraventricular Hemorrhage,79.36508,14,pending
recurrent neuroblastoma,Neuroblastoma,92.30769,13,pending
systemic lupus erthematosus,"Lupus Erythematosus, Systemic",85.71429,13,pending
stage iv oropharyngeal (p16-negative) carcinoma ajcc v8,Nasopharyngeal Carcinoma,85.106384,13,pending
unresectable lung non-small cell carcinoma,Small Cell Lung Carcinoma,77.77778,13,pending
cardiovascular events,Cardiovascular Diseases,77.27273,13,pending
autonomic failure,Pure Autonomic Failure,76.92308,13,pending
advanced/metastatic solid tumors,Desmoid Tumors,76.92308,13,pending
msa - multiple system atrophy,Multiple System Atrophy,76.92308,13,pending
recurrent marginal zone lymphoma,"Lymphoma, B-Cell, Marginal Zone",75.471695,13,pending
refractory medulloblastoma,Medulloblastoma,93.333336,12,pending
refractory hepatoblastoma,Hepatoblastoma,92.85714,12,pending
chronic constipation,Constipation,91.666664,12,pending
frontotemporal dementia (ftd),Frontotemporal Dementia,91.304344,12,pending
pulmonary embolism (diagnosis),Pulmonary Embolism,88.888885,12,pending
inflamation,Inflammation,86.95652,12,pending
"multiple sclerosis, secondary progressive","Multiple Sclerosis, Chronic Progressive",80.0,12,pending
dysglycemia,Hypoglycemia,78.26087,12,pending
recurrent chronic myelomonocytic leukemia,"Leukemia, Myelomonocytic, Acute",77.77778,12,pending
hemostasis,Cholestasis,76.190475,12,pending
somatic mutation,"Amputation, Traumatic",75.675674,12,pending
recurrent hepatoblastoma,Hepatoblastoma,92.85714,11,pending
disordered eating behaviors,Disordered Eating Behavior,86.79245,11,pending
chronic inflammatory demyelinating polyradiculoneuropathy,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",85.98131,11,pending
hemianopia,Hemianopsia,85.71429,11,pending
advanced heart failure,Heart Failure,84.61539,11,pending
toxicity,Ototoxicity,84.210526,11,pending
unstable angina,"Angina, Unstable",83.870964,11,pending
stage iv hypopharyngeal carcinoma ajcc v8,Nasopharyngeal Carcinoma,83.333336,11,pending
"dementia, mixed",Mixed Dementias,80.0,11,pending
acute graft versus host disease,Graft vs Host Disease,78.26087,11,pending
chronic back pain,Back Pain,77.77778,11,pending
postoperative,"Pain, Postoperative",75.0,11,pending
alzheimer&#39;s disease (ad),Alzheimer Disease,75.0,11,pending
refractory rhabdomyosarcoma,Rhabdomyosarcoma,93.75,10,pending
refractory rhabdoid tumor,Rhabdoid Tumor,85.71429,10,pending
recurrent rhabdoid tumor,Rhabdoid Tumor,85.71429,10,pending
urinary tract infection (diagnosis),Urinary Tract Infections,85.106384,10,pending
cognitive functions,Cognitive Dysfunction,85.0,10,pending
intensive care unit syndrome,postintensive care syndrome,83.63636,10,pending
stage iii hypopharyngeal carcinoma ajcc v8,Nasopharyngeal Carcinoma,83.333336,10,pending
recurrent ewing sarcoma,"Sarcoma, Ewing",81.48148,10,pending
refractory ewing sarcoma,"Sarcoma, Ewing",81.48148,10,pending
thoracic aortic dissection,"Dissection, Thoracic Aorta",80.76923,10,pending
locally advanced nasopharyngeal carcinoma,Nasopharyngeal Carcinoma,78.57143,10,pending
juvenile myelomonocytic leukemia,"Leukemia, Myelomonocytic, Acute",77.77778,10,pending
venous insufficiency of leg,Venous Insufficiency,76.59574,10,pending
anal carcinoma,Anal Canal Carcinoma,76.47059,10,pending
smoking (tobacco) addiction,Smoking Reduction,76.47059,10,pending
acute biphenotypic leukemia,"Leukemia, Biphenotypic, Acute",76.0,10,pending
cancer cachexia,Urachal cancer,75.86207,10,pending
emotional disorders,Peroxisomal Disorders,75.0,10,pending
lymphoproliferative disorder,Lymphoproliferative Disorders,91.22807,9,pending
recurrent gliosarcoma,Gliosarcoma,90.90909,9,pending
chronic venous insufficiency,Venous Insufficiency,90.0,9,pending
prolymphocytic leukemia,"Leukemia, Prolymphocytic",89.3617,9,pending
schizophrenia 1 (disorder),Schizophrenia,85.71429,9,pending
"coronary artery disease (cad) (e.g., angina, myocardial infarction, and atherosclerotic heart disease (ashd))",Coronary Artery Disease,83.333336,9,pending
pediatric kidney disease,Kidney Diseases,82.75862,9,pending
metastatic oropharyngeal squamous cell carcinoma,Esophageal Squamous Cell Carcinoma,81.69014,9,pending
depressive episode,Depressive Disorder,81.08108,9,pending
metastatic hypopharyngeal squamous cell carcinoma,Esophageal Squamous Cell Carcinoma,80.55556,9,pending
hypopharyngeal squamous cell carcinoma,Esophageal Squamous Cell Carcinoma,80.55556,9,pending
liver cirrhoses,Liver Cirrhosis,80.0,9,pending
anastomotic leakage,Anastomotic Leak,80.0,9,pending
revascularization,Corneal Neovascularization,79.06977,9,pending
respiratory complication,Respiratory Aspiration,78.26087,9,pending
metastatic laryngeal squamous cell carcinoma,Esophageal Squamous Cell Carcinoma,77.61194,9,pending
advanced endometrial carcinoma,"Carcinoma, Endometrioid",77.27273,9,pending
"low back pain, chronic",Low Back Pain,76.92308,9,pending
respiratory complications,Respiratory Aspiration,76.59574,9,pending
lung infection,Wound Infection,75.86207,9,pending
chronic respiratory disease,Respiratory Tract Diseases,75.55556,9,pending
refractory marginal zone lymphoma,"Lymphoma, B-Cell, Marginal Zone",75.471695,9,pending
angina (stable),Herpangina,75.0,9,pending
chronic kidney disease 5d,Kidney Diseases,75.0,9,pending
primary lateral sclerosis,Atherosclerosis,75.0,9,pending
recurrent rhabdomyosarcoma,Rhabdomyosarcoma,93.75,8,pending
"periodontitis, adult",Periodontitis,92.30769,8,pending
refractory ependymoma,Ependymoma,90.0,8,pending
recurrent ependymoma,Ependymoma,90.0,8,pending
atopic dermatitis (eczema),"Dermatitis, Atopic",85.71429,8,pending
epstein-barr virus infection,Epstein-Barr Virus Infections,84.210526,8,pending
metastatic lung small cell carcinoma,Small Cell Lung Carcinoma,84.0,8,pending
major depressive diorder,"Depressive Disorder, Major",84.0,8,pending
frontotemporal degeneration,Frontotemporal Lobar Degeneration,83.333336,8,pending
non-st elevation myocardial infarction,ST Elevation Myocardial Infarction,80.55556,8,pending
pad - peripheral arterial disease,Peripheral Arterial Disease,80.0,8,pending
simulation,Fasciculation,78.26087,8,pending
lumbar spondylolisthesis,Spondylolisthesis,78.04878,8,pending
spinocerebellar ataxia type 6,Spinocerebellar Ataxia 10,77.77778,8,pending
hyperinsulinemia,Hyperinsulinism,77.41936,8,pending
b-cell lymphoma recurrent,"Lymphoma, B-Cell",77.41936,8,pending
metastatic endometrial carcinoma,"Carcinoma, Endometrioid",77.27273,8,pending
caries,Scabies,76.92308,8,pending
primary sjögren syndrome,Sjogren's Syndrome,76.47059,8,pending
disordered eating,Hearing Disorders,76.47059,8,pending
vulvar carcinoma,"Carcinoma, Lobular",76.47059,8,pending
prostate disease,Prostatic Diseases,76.47059,8,pending
enteral nutrition,Malnutrition,75.86207,8,pending
hbv infection,Coinfection,75.0,8,pending
parkinson&#39;s disease,Parkinson Disease,75.0,8,pending
vascular function,Ejaculatory Dysfunction,75.0,8,pending
alzheimer&#39;s disease,Alzheimer Disease,75.0,8,pending
medulloblastoma recurrent,Medulloblastoma,93.333336,7,pending
primary osteoarthritis,Osteoarthritis,92.85714,7,pending
chronic pulmonary aspergillosis,Pulmonary Aspergillosis,91.304344,7,pending
neurodevelopmental disorder (diagnosis),Neurodevelopmental Disorders,90.90909,7,pending
refractory mycosis fungoides,Mycosis Fungoides,88.23529,7,pending
recurrent mycosis fungoides,Mycosis Fungoides,88.23529,7,pending
hernia incisional,Incisional Hernia,88.23529,7,pending
"pulmonary nodule, solitary",Solitary Pulmonary Nodule,86.27451,7,pending
recurrent or metastatic nasopharyngeal carcinoma,Nasopharyngeal Carcinoma,86.27451,7,pending
monoclonal gammopathy of undetermined significance (mgus),Monoclonal Gammopathy of Undetermined Significance,86.0,7,pending
systemic lupus erthematosus (sle),"Lupus Erythematosus, Systemic",85.71429,7,pending
urinary bladder neoplasm,Urinary Bladder Neoplasms,85.71429,7,pending
refractory primary central nervous system neoplasm,Central Nervous System Neoplasms,85.71429,7,pending
rhematoid arthritis,"Arthritis, Rheumatoid",85.0,7,pending
β-thalassemia,Thalassemia,83.333336,7,pending
renal cell carcinoma metastatic,"Carcinoma, Renal Cell",82.92683,7,pending
soft tissue neoplasm,Soft Tissue Neoplasms,82.92683,7,pending
polyarthritis,Spondylarthritis,82.75862,7,pending
lower urinary track symptoms,Lower Urinary Tract Symptoms,82.14286,7,pending
aortic valve calcification,"Aortic Valve, Calcification of",82.14286,7,pending
pineoblastoma,Retinoblastoma,81.48148,7,pending
ocular diseases,Vascular Diseases,81.25,7,pending
cognitive functioning,Cognitive Dysfunction,80.95238,7,pending
myxofibrosarcoma,Dermatofibrosarcoma,80.0,7,pending
immunization,Communication,80.0,7,pending
moderate to severe atopic dermatitis,"Dermatitis, Atopic",78.947365,7,pending
acute respiratory infection,Respiratory Tract Infections,77.55102,7,pending
metastatic colon adenocarcinoma,Adenocarcinoma,76.47059,7,pending
ovarian transitional cell carcinoma,"Carcinoma, Transitional Cell",76.190475,7,pending
biphenotypic acute leukemia,"Leukemia, Biphenotypic, Acute",76.0,7,pending
estrogen deficiency,Protein Deficiency,75.675674,7,pending
oesophageal adenocarcinoma,Adenocarcinoma Of Esophagus,75.471695,7,pending
scc - squamous cell carcinoma,"Carcinoma, Squamous Cell",75.471695,7,pending
advanced pancreatic carcinoma,"Carcinoma, Pancreatic Ductal",75.0,7,pending
adolescence,Convalescence,75.0,7,pending
restrictive cardiomyopathy,"Cardiomyopathy, Restrictive",90.56604,6,pending
embryonal rhabdomyosarcoma,"Rhabdomyosarcoma, Embryonal",90.56604,6,pending
chronic mesenteric ischemia,Mesenteric Ischemia,89.47369,6,pending
"spondyloarthritis, axial",Axial Spondyloarthritis,89.3617,6,pending
glucose tolerance,Glucose Intolerance,88.888885,6,pending
pediatric critical illness,Critical Illness,87.5,6,pending
chronic leukemia,Leukemia,87.5,6,pending
recurrent peripheral primitive neuroectodermal tumor,"Neuroectodermal Tumors, Primitive, Peripheral",87.35632,6,pending
refractory peripheral primitive neuroectodermal tumor,"Neuroectodermal Tumors, Primitive, Peripheral",87.35632,6,pending
acute respiratory tract infection,Respiratory Tract Infections,87.27273,6,pending
malaria falciparum,"Malaria, Falciparum",86.48649,6,pending
pathological complete response,Pathologic Complete Response,86.206894,6,pending
heterozygous familial hypercholesterolemia (hefh),Homozygous Familial Hypercholesterolemia,85.36585,6,pending
metastatic squamous cell carcinoma,"Carcinoma, Squamous Cell",85.106384,6,pending
anxiety disorder (panic disorder or gad),Anxiety Disorders,84.84849,6,pending
myeloid sarcoma,"Sarcoma, Myeloid",83.870964,6,pending
ear infection,Reinfection,83.333336,6,pending
mild asthma,Asthma,83.333336,6,pending
premature infant disease,"Infant, Premature, Diseases",82.35294,6,pending
anaesthesia,Paresthesia,81.818184,6,pending
spinocerebellar ataxia type 1,Spinocerebellar Ataxia 10,81.48148,6,pending
relapsed or refractory multiple myeloma (rrmm),Multiple Myeloma,80.0,6,pending
fraility,Frailty,80.0,6,pending
bone infection,Coinfection,80.0,6,pending
osteoporosis fracture,Osteoporotic Fractures,79.06977,6,pending
warm autoimmune hemolytic anemia,"Anemia, Hemolytic, Autoimmune",78.68852,6,pending
brain health,Brain Death,78.26087,6,pending
"cirrhoses, liver",Liver Cirrhosis,77.41936,6,pending
